number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
12,0.01904329550964041,2026-07-19 20:29:40.341531,2026-07-19 20:29:53.495998,0 days 00:00:13.154467,0.9056748996585927,0.03763602720199904,8,8,378,0.8951402113393848,COMPLETE
13,0.019570516491099782,2026-07-19 20:29:53.505262,2026-07-19 20:30:02.316734,0 days 00:00:08.811472,0.885526171135433,0.06938232004725212,7,9,374,0.9105838368420682,COMPLETE
14,0.019054894452544293,2026-07-19 20:30:02.324981,2026-07-19 20:30:19.547156,0 days 00:00:17.222175,0.8888891311946836,0.02089378459799568,8,8,497,0.8753891804760433,COMPLETE
15,0.01950758467070936,2026-07-19 20:30:19.556175,2026-07-19 20:30:25.125469,0 days 00:00:05.569294,0.8141917210537882,0.04937565376968674,6,8,323,0.824900120754438,COMPLETE
16,0.01932277272120338,2026-07-19 20:30:25.134133,2026-07-19 20:30:41.000537,0 days 00:00:15.866404,0.8286019683151551,0.03639330858132286,9,9,410,0.9386749971071318,COMPLETE
17,0.01894451343435352,2026-07-19 20:30:41.009073,2026-07-19 20:30:50.655359,0 days 00:00:09.646286,0.9300277247970357,0.017032013020347826,7,9,325,0.9537117905356078,COMPLETE
18,0.019130022527290527,2026-07-19 20:30:50.665225,2026-07-19 20:30:57.738635,0 days 00:00:07.073410,0.9433636284606401,0.016754290893409032,6,10,327,0.9527901121951406,COMPLETE
19,0.01943254992264974,2026-07-19 20:30:57.747178,2026-07-19 20:31:03.598626,0 days 00:00:05.851448,0.9476022302294058,0.017391559758049537,7,9,174,0.84206181484501,COMPLETE
20,0.019573356772348064,2026-07-19 20:31:03.607788,2026-07-19 20:31:09.406740,0 days 00:00:05.798952,0.8424561869728329,0.01474985234874542,5,6,423,0.9518168757237061,COMPLETE
21,0.01892689548327869,2026-07-19 20:31:09.416371,2026-07-19 20:31:25.009931,0 days 00:00:15.593560,0.911548030592828,0.028601052895009048,9,9,328,0.8634867158830677,COMPLETE
22,0.018994377056038656,2026-07-19 20:31:25.017950,2026-07-19 20:31:41.435628,0 days 00:00:16.417678,0.9298138460020545,0.024897492244639868,9,9,325,0.8006616670811326,COMPLETE
23,0.01902967601046072,2026-07-19 20:31:41.443586,2026-07-19 20:31:56.615507,0 days 00:00:15.171921,0.8657899001842506,0.02409384110559044,9,10,293,0.8577432550363676,COMPLETE
24,0.019289042097015815,2026-07-19 20:31:56.623942,2026-07-19 20:32:06.674492,0 days 00:00:10.050550,0.7912619124342996,0.013675372072385648,7,8,303,0.9304046122462819,COMPLETE
25,0.018993490329449008,2026-07-19 20:32:06.683408,2026-07-19 20:32:20.191608,0 days 00:00:13.508200,0.9163687922196262,0.020380701821128312,8,7,350,0.7630853565652882,COMPLETE
26,0.018854701599407674,2026-07-19 20:32:20.200950,2026-07-19 20:32:38.283860,0 days 00:00:18.082910,0.9697175164202116,0.027254568594193486,9,9,415,0.9722348355713633,COMPLETE
27,0.019120071183726547,2026-07-19 20:32:38.292359,2026-07-19 20:32:54.577593,0 days 00:00:16.285234,0.9845836311474019,0.048625413024488605,9,10,412,0.867945740970222,COMPLETE
28,0.020369920663724315,2026-07-19 20:32:54.585531,2026-07-19 20:33:15.411099,0 days 00:00:20.825568,0.9567246036301775,0.08098792772601682,10,8,447,0.6869741372310493,COMPLETE
29,0.020109023373942776,2026-07-19 20:33:15.418486,2026-07-19 20:33:37.161750,0 days 00:00:21.743264,0.8501695421476644,0.1112884897431442,10,9,499,0.9772763829161624,COMPLETE
